Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000117906	ENSG00000144635	g	g.AD	0.52
ENSG00000166006	ENSG00000144635	g	g.AD	0.54
ENSG00000118518	ENSG00000144635	g	g.AD	0.51
ENSG00000156642	ENSG00000144635	g	g.AD	0.55
ENSG00000049130	ENSG00000144635	g	g.AD	0.52
ENSG00000116106	ENSG00000144635	g	g.AD	0.53
ENSG00000133703	ENSG00000144635	g	g.AD	0.55
ENSG00000137494	ENSG00000144635	g	g.AD	0.54
ENSG00000132640	ENSG00000144635	g	g.AD	0.53
ENSG00000129691	ENSG00000144635	g	g.AD	0.52
ENSG00000205981	ENSG00000144635	g	g.AD	0.53
ENSG00000102078	ENSG00000144635	g	g.AD	0.54
ENSG00000196776	ENSG00000144635	g	g.AD	0.55
ENSG00000163541	ENSG00000144635	a	a	0.54
ENSG00000237990	ENSG00000144635	g	g.AD	0.53
ENSG00000075790	ENSG00000127946	g	g.AD	-0.52
ENSG00000083720	ENSG00000127946	g	g.AD	-0.53
ENSG00000165832	ENSG00000127946	g	g.AD	-0.52
ENSG00000104643	ENSG00000127946	g	g.AD	-0.52
ENSG00000106299	ENSG00000127946	g	g.AD	-0.52
ENSG00000133703	ENSG00000127946	g	g.AD	-0.52
ENSG00000163412	ENSG00000127946	g	g.AD	-0.52
ENSG00000110675	ENSG00000148688	g	g.AD	0.53
ENSG00000085365	ENSG00000148688	g	g.AD	0.55
ENSG00000136531	ENSG00000148688	a	a	0.54
ENSG00000005249	ENSG00000148688	g	g.AD	0.53
ENSG00000083720	ENSG00000148688	g	g.AD	0.54
ENSG00000178662	ENSG00000148688	a	a	0.55
ENSG00000149313	ENSG00000148688	g	g.AD	0.55
ENSG00000109738	ENSG00000148688	g	g.AD	0.53
ENSG00000106299	ENSG00000148688	g	g.AD	0.54
ENSG00000156642	ENSG00000148688	g	g.AD	0.54
ENSG00000133703	ENSG00000148688	g	g.AD	0.54
ENSG00000102078	ENSG00000148688	g	g.AD	0.52
ENSG00000075790	ENSG00000160191	a	a	-0.53
ENSG00000087470	ENSG00000160191	a	a	-0.53
ENSG00000186106	ENSG00000160191	g	g.AD	-0.53
ENSG00000083720	ENSG00000160191	g	g.AD	-0.54
ENSG00000133703	ENSG00000160191	g	g.AD	-0.52
ENSG00000114686	ENSG00000160191	g	g.AD	-0.51
ENSG00000163412	ENSG00000160191	g	g.AD	-0.53
ENSG00000196776	ENSG00000160191	g	g.AD	-0.53
ENSG00000110675	ENSG00000125848	g	g.AD	0.54
ENSG00000005249	ENSG00000125848	g	g.AD	0.53
ENSG00000164031	ENSG00000125848	g	g.AD	0.53
ENSG00000083720	ENSG00000125848	g	g.AD	0.54
ENSG00000109738	ENSG00000125848	g	g.AD	0.55
ENSG00000166006	ENSG00000125848	g	g.AD	0.53
ENSG00000132294	ENSG00000125848	g	g.AD	0.53
ENSG00000116106	ENSG00000125848	g	g.AD	0.53
ENSG00000123119	ENSG00000125848	a	a	0.54
ENSG00000163412	ENSG00000125848	g	g.AD	0.53
ENSG00000118432	ENSG00000125848	g	g.AD	0.52
ENSG00000109738	ENSG00000106771	g	g.AD	0.51
ENSG00000106299	ENSG00000106771	g	g.AD	0.53
ENSG00000133703	ENSG00000106771	g	g.AD	0.54
ENSG00000100934	ENSG00000106771	a	a	0.53
ENSG00000110675	ENSG00000047578	g	g.AD	-0.53
ENSG00000186106	ENSG00000047578	g	g.AD	-0.52
ENSG00000145864	ENSG00000047578	g	g.AD	-0.53
ENSG00000156642	ENSG00000047578	g	g.AD	-0.54
ENSG00000085365	ENSG00000015285	g	g.AD	-0.52
ENSG00000178662	ENSG00000015285	a	a	-0.52
ENSG00000123119	ENSG00000015285	g	g.AD	-0.51
ENSG00000075790	ENSG00000065609	g	g.AD	0.54
ENSG00000110675	ENSG00000065609	a	a	0.54
ENSG00000136531	ENSG00000065609	g	g.AD	0.55
ENSG00000164031	ENSG00000065609	g	g.AD	0.52
ENSG00000152932	ENSG00000065609	g	g.AD	0.54
ENSG00000145864	ENSG00000065609	g	g.AD	0.55
ENSG00000116106	ENSG00000065609	g	g.AD	0.54
ENSG00000123119	ENSG00000065609	g	g.AD	0.54
ENSG00000113966	ENSG00000065609	g	g.AD	0.53
ENSG00000221823	ENSG00000065609	g	g.AD	0.55
ENSG00000085365	ENSG00000174405	g	g.AD	0.54
ENSG00000136531	ENSG00000174405	g	g.AD	0.52
ENSG00000186106	ENSG00000174405	g	g.AD	0.53
ENSG00000152932	ENSG00000174405	g	g.AD	0.52
ENSG00000145864	ENSG00000174405	g	g.AD	0.52
ENSG00000106299	ENSG00000174405	g	g.AD	0.53
ENSG00000123119	ENSG00000174405	g	g.AD	0.53
ENSG00000221823	ENSG00000174405	g	g.AD	0.51
ENSG00000163412	ENSG00000174405	g	g.AD	0.51
ENSG00000144635	ENSG00000174405	g	g.AD	0.53
ENSG00000085365	ENSG00000123411	g	g.AD	-0.53
