"Node.1" "Node.2" "CN"
"ENSG00000198780" "ENSG00000225792" 0.53
"ENSG00000204963" "ENSG00000157680" 0.54
"ENSG00000163558" "ENSG00000133114" 0.51
"ENSG00000235079" "ENSG00000188419" 0.54
"ENSG00000228172" "ENSG00000078061" 0.55
"ENSG00000169891" "ENSG00000148481" 0.53
"ENSG00000287451" "ENSG00000161847" -0.54
"ENSG00000075790" "ENSG00000005810" 0.51
"ENSG00000114784" "ENSG00000107758" 0.53
"ENSG00000142327" "ENSG00000091129" -0.54
"ENSG00000129636" "ENSG00000104812" -0.54
"ENSG00000206199" "ENSG00000135018" 0.53
"ENSG00000004766" "ENSG00000127995" 0.54
"ENSG00000134121" "ENSG00000006715" 0.54
"ENSG00000143450" "ENSG00000204065" 0.51
"ENSG00000145428" "ENSG00000125675" 0.54
"ENSG00000184388" "ENSG00000140632" 0.53
"ENSG00000079785" "ENSG00000165516" 0.56
"ENSG00000124915" "ENSG00000157540" -0.52
"ENSG00000008128" "ENSG00000269439" 0.52
"ENSG00000182836" "ENSG00000106443" 0.53
"ENSG00000087087" "ENSG00000050030" -0.52
"ENSG00000163743" "ENSG00000198780" 0.54
"ENSG00000285867" "ENSG00000088888" 0.52
"ENSG00000168438" "ENSG00000161091" -0.53
"ENSG00000233728" "ENSG00000071553" 0.52
"ENSG00000232119" "ENSG00000133703" 0.55
"ENSG00000138660" "ENSG00000205133" 0.51
"ENSG00000081019" "ENSG00000145864" 0.51
"ENSG00000143158" "ENSG00000259623" 0.53
"ENSG00000115415" "ENSG00000006715" 0.55
"ENSG00000211456" "ENSG00000107105" 0.52
"ENSG00000162409" "ENSG00000091039" 0.52
"ENSG00000139116" "ENSG00000105229" -0.53
"ENSG00000156860" "ENSG00000141577" 0.55
"ENSG00000197323" "ENSG00000091157" 0.54
"ENSG00000113966" "ENSG00000101331" -0.52
"ENSG00000104723" "ENSG00000179636" -0.52
"ENSG00000061918" "ENSG00000185742" 0.55
"ENSG00000104231" "ENSG00000185272" 0.55
"ENSG00000138138" "ENSG00000176533" -0.52
"ENSG00000244945" "ENSG00000204116" -0.52
"ENSG00000136531" "ENSG00000166946" 0.53
"ENSG00000198919" "ENSG00000186994" -0.52
"ENSG00000133302" "ENSG00000197879" -0.53
"ENSG00000174106" "ENSG00000125848" 0.53
"ENSG00000138079" "ENSG00000134049" 0.54
"ENSG00000246889" "ENSG00000185989" 0.51
"ENSG00000228358" "ENSG00000072657" 0.52
"ENSG00000287451" "ENSG00000248592" -0.53
"ENSG00000206199" "ENSG00000273841" 0.53
"ENSG00000075089" "ENSG00000102471" 0.53
"ENSG00000118873" "ENSG00000136213" -0.54
"ENSG00000144567" "ENSG00000260328" 0.52
"ENSG00000198961" "ENSG00000104660" 0.53
"ENSG00000102753" "ENSG00000185658" 0.54
"ENSG00000115415" "ENSG00000065320" -0.53
"ENSG00000183308" "ENSG00000163281" 0.51
"ENSG00000081307" "ENSG00000180116" 0.55
"ENSG00000109158" "ENSG00000157214" 0.54
"ENSG00000109756" "ENSG00000091157" 0.54
"ENSG00000173327" "ENSG00000184381" 0.52
"ENSG00000138430" "ENSG00000070047" -0.55
"ENSG00000133302" "ENSG00000089060" -0.53
"ENSG00000213445" "ENSG00000161847" 0.53
"ENSG00000114573" "ENSG00000167981" 0.53
"ENSG00000133069" "ENSG00000254692" 0.52
"ENSG00000114446" "ENSG00000100364" -0.53
"ENSG00000138078" "ENSG00000268746" -0.52
"ENSG00000165832" "ENSG00000061273" -0.53
"ENSG00000236723" "ENSG00000055813" -0.53
"ENSG00000095539" "ENSG00000065559" -0.53
"ENSG00000144290" "ENSG00000227500" -0.55
"ENSG00000188026" "ENSG00000125848" -0.52
"ENSG00000145730" "ENSG00000214402" -0.52
"ENSG00000146476" "ENSG00000186106" 0.54
"ENSG00000113163" "ENSG00000283208" 0.54
"ENSG00000198961" "ENSG00000123562" 0.54
"ENSG00000100439" "ENSG00000088888" 0.54
"ENSG00000177732" "ENSG00000088881" 0.53
"ENSG00000264668" "ENSG00000122873" -0.52
"ENSG00000188343" "ENSG00000129347" -0.52
"ENSG00000009844" "ENSG00000077264" 0.51
"ENSG00000196290" "ENSG00000256206" 0.53
"ENSG00000288558" "ENSG00000099385" -0.52
"ENSG00000164038" "ENSG00000250571" -0.53
"ENSG00000135317" "ENSG00000155313" 0.53
"ENSG00000108828" "ENSG00000101746" -0.52
