Node.1	Node.2	wTO
ENSG00000164031	ENSG00000188674	0.52
ENSG00000164031	ENSG00000168116	0.54
ENSG00000164031	ENSG00000180488	0.53
ENSG00000164031	ENSG00000198556	-0.53
ENSG00000164031	ENSG00000180773	0.54
ENSG00000164031	ENSG00000009830	-0.52
ENSG00000164031	ENSG00000236810	-0.52
ENSG00000164031	ENSG00000162391	-0.52
ENSG00000164031	ENSG00000125848	0.53
ENSG00000164031	ENSG00000186583	-0.51
ENSG00000164031	ENSG00000198496	-0.53
ENSG00000164031	ENSG00000103227	-0.52
ENSG00000164031	ENSG00000128298	-0.52
ENSG00000164031	ENSG00000186654	-0.53
ENSG00000083720	ENSG00000108839	-0.54
ENSG00000083720	ENSG00000285651	-0.52
ENSG00000083720	ENSG00000152382	0.53
ENSG00000083720	ENSG00000239605	-0.53
ENSG00000083720	ENSG00000134574	-0.52
ENSG00000083720	ENSG00000231871	-0.52
ENSG00000083720	ENSG00000008869	0.53
ENSG00000083720	ENSG00000129691	0.52
ENSG00000083720	ENSG00000118432	0.53
ENSG00000083720	ENSG00000127946	-0.53
ENSG00000083720	ENSG00000115137	0.52
ENSG00000083720	ENSG00000166006	0.53
ENSG00000083720	ENSG00000132294	0.54
ENSG00000083720	ENSG00000100934	0.54
ENSG00000083720	ENSG00000115944	0.53
ENSG00000083720	ENSG00000148688	0.54
ENSG00000083720	ENSG00000205981	0.53
ENSG00000083720	ENSG00000108176	0.53
ENSG00000083720	ENSG00000113645	-0.51
ENSG00000083720	ENSG00000178074	0.53
ENSG00000083720	ENSG00000008086	0.53
ENSG00000083720	ENSG00000144895	0.52
ENSG00000083720	ENSG00000166398	-0.53
ENSG00000083720	ENSG00000204217	0.53
ENSG00000083720	ENSG00000198556	-0.53
ENSG00000083720	ENSG00000089775	0.54
ENSG00000083720	ENSG00000198169	-0.51
ENSG00000083720	ENSG00000114735	-0.52
ENSG00000083720	ENSG00000108590	0.53
ENSG00000083720	ENSG00000125848	0.54
ENSG00000083720	ENSG00000181467	0.52
ENSG00000083720	ENSG00000213062	0.53
ENSG00000083720	ENSG00000214353	-0.52
ENSG00000083720	ENSG00000265354	0.53
ENSG00000083720	ENSG00000170919	-0.52
ENSG00000083720	ENSG00000165355	0.52
ENSG00000083720	ENSG00000173821	-0.53
ENSG00000083720	ENSG00000124440	-0.53
ENSG00000083720	ENSG00000160191	-0.54
ENSG00000083720	ENSG00000267114	-0.51
ENSG00000083720	ENSG00000099338	-0.54
ENSG00000083720	ENSG00000236383	-0.53
ENSG00000083720	ENSG00000167693	-0.52
